date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:16	1557/1557	---M--	200	added ('OK')	image/png	etag:%225844e70c-615%22	http://2012.drupalcamptoronto.org/sites/all/themes/adaptivetheme/at_dcto2012/images/twitter_32.png	./2012.drupalcamptoronto.org/sites/all/themes/adaptivetheme/at_dcto2012/images/twitter_32/index.png	(from http://2012.drupalcamptoronto.org/)
15:15:16	21859/21859	---M--	200	added ('OK')	image/png	etag:%225844e70c-5563%22	http://2012.drupalcamptoronto.org/sites/all/themes/adaptivetheme/at_dcto2012/logo.png	./2012.drupalcamptoronto.org/sites/all/themes/adaptivetheme/at_dcto2012/logo/index.png	(from http://2012.drupalcamptoronto.org/)
15:15:17	1466/1466	---M--	200	added ('OK')	image/png	etag:%225844e70c-5ba%22	http://2012.drupalcamptoronto.org/sites/all/themes/adaptivetheme/at_dcto2012/images/facebook_32.png	./2012.drupalcamptoronto.org/sites/all/themes/adaptivetheme/at_dcto2012/images/facebook_32/index.png	(from http://2012.drupalcamptoronto.org/)
15:15:17	1522/1522	---M--	200	added ('OK')	image/png	etag:%225844e70c-5f2%22	http://2012.drupalcamptoronto.org/sites/all/themes/adaptivetheme/at_dcto2012/images/flickr_32.png	./2012.drupalcamptoronto.org/sites/all/themes/adaptivetheme/at_dcto2012/images/flickr_32/index.png	(from http://2012.drupalcamptoronto.org/)
15:15:17	22943/22943	---MCZ	200	added ('OK')	text/html	etag:W/%221480918517%22	http://2012.drupalcamptoronto.org/program	./2012.drupalcamptoronto.org/program/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:18	51326/51326	---MCZ	200	added ('OK')	text/html	etag:W/%221480918518%22	http://2012.drupalcamptoronto.org/program/session-schedule	./2012.drupalcamptoronto.org/program/session-schedule/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:19	21332/21332	---MCZ	200	added ('OK')	text/html	etag:W/%221480918518%22	http://2012.drupalcamptoronto.org/program/session-schedule/your-schedule	./2012.drupalcamptoronto.org/program/session-schedule/your-schedule/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:19	24676/24676	---MCZ	200	added ('OK')	text/html	etag:W/%221480918519%22	http://2012.drupalcamptoronto.org/keynote-speakers	./2012.drupalcamptoronto.org/keynote-speakers/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:20	21600/21600	---MCZ	200	added ('OK')	text/html	etag:W/%221480918519%22	http://2012.drupalcamptoronto.org/birds-of-a-feather	./2012.drupalcamptoronto.org/birds-of-a-feather/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:20	21457/21457	---MCZ	200	added ('OK')	text/html	etag:W/%221480918520%22	http://2012.drupalcamptoronto.org/party	./2012.drupalcamptoronto.org/party/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:21	23230/23230	---MCZ	200	added ('OK')	text/html	etag:W/%221480918520%22	http://2012.drupalcamptoronto.org/aboot	./2012.drupalcamptoronto.org/aboot/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:21	24292/24292	---MCZ	200	added ('OK')	text/html	etag:W/%221480918521%22	http://2012.drupalcamptoronto.org/location	./2012.drupalcamptoronto.org/location/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:21	22246/22246	---MCZ	200	added ('OK')	text/html	etag:W/%221480918521%22	http://2012.drupalcamptoronto.org/toronto-drupal-user-group	./2012.drupalcamptoronto.org/toronto-drupal-user-group/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:22	23812/23812	---MCZ	200	added ('OK')	text/html	etag:W/%221480918521%22	http://2012.drupalcamptoronto.org/drupal-association	./2012.drupalcamptoronto.org/drupal-association/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:22	29598/29598	---MCZ	200	added ('OK')	text/html	etag:W/%221480918522%22	http://2012.drupalcamptoronto.org/register	./2012.drupalcamptoronto.org/register/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:23	45879/45879	---MCZ	200	added ('OK')	text/html	etag:W/%221480918522%22	http://2012.drupalcamptoronto.org/attendees	./2012.drupalcamptoronto.org/attendees/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:23	23570/23570	---MCZ	200	added ('OK')	text/html	etag:W/%221480918523%22	http://2012.drupalcamptoronto.org/sponsors	./2012.drupalcamptoronto.org/sponsors/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:24	23223/23223	---MCZ	200	added ('OK')	text/html	etag:W/%221480918523%22	http://2012.drupalcamptoronto.org/become-a-sponsor	./2012.drupalcamptoronto.org/become-a-sponsor/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:24	26243/26243	---M-Z	200	added ('OK')	text/html	etag:W/%221480918524%22	http://2012.drupalcamptoronto.org/contact	./2012.drupalcamptoronto.org/contact/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:45	119224/119224	---M--	200	added ('OK')	image/jpeg	etag:%22531e160f-1d1b8%22	http://2012.drupalcamptoronto.org/sites/default/files/banner-registration_0_0.jpg?1351898250	./2012.drupalcamptoronto.org/sites/default/files/banner-registration_0_0/index.jpg	(from http://2012.drupalcamptoronto.org/)
15:15:46	23326/23326	---MCZ	200	added ('OK')	text/html	etag:W/%221480918546%22	http://2012.drupalcamptoronto.org/news/keynote-and-session-videos-and-slides	./2012.drupalcamptoronto.org/news/keynote-and-session-videos-and-slides/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:51	27673/27673	---M--	200	added ('OK')	image/jpeg	etag:%22531e160f-6c19%22	http://2012.drupalcamptoronto.org/sites/default/files/images/news-vimeo.jpg	./2012.drupalcamptoronto.org/sites/default/files/images/news-vimeo/index.jpg	(from http://2012.drupalcamptoronto.org/)
15:15:52	172924/172924	---M--	200	added ('OK')	image/jpeg	etag:%22531e160f-2a37c%22	http://2012.drupalcamptoronto.org/sites/default/files/banner-sessions_0.jpg?1351898298	./2012.drupalcamptoronto.org/sites/default/files/banner-sessions_0/index.jpg	(from http://2012.drupalcamptoronto.org/)
15:15:52	26976/26976	---MCZ	200	added ('OK')	text/html	etag:W/%221480918552%22	http://2012.drupalcamptoronto.org/news/top-ten-reasons-to-attend-drupalcamp-toronto-2012	./2012.drupalcamptoronto.org/news/top-ten-reasons-to-attend-drupalcamp-toronto-2012/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:53	21943/21943	---MCZ	200	added ('OK')	text/html	etag:W/%221480918552%22	http://2012.drupalcamptoronto.org/sponsorships/peapod-studios	./2012.drupalcamptoronto.org/sponsorships/peapod-studios/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:54	22585/22585	---MCZ	200	added ('OK')	text/html	etag:W/%221480918554%22	http://2012.drupalcamptoronto.org/sponsorships/myplanet-digital	./2012.drupalcamptoronto.org/sponsorships/myplanet-digital/index.html	(from http://2012.drupalcamptoronto.org/)
15:15:56	23540/23540	---MCZ	200	added ('OK')	text/html	etag:W/%221480918555%22	http://2012.drupalcamptoronto.org/sponsorships/freeform-solutions	./2012.drupalcamptoronto.org/sponsorships/freeform-solutions/index.html	(from http://2012.drupalcamptoronto.org/)
